ID,COORDS_X,COORDS_Y,AGE,ROOMS,HOUSESIZE,LOTSIZE,INQUALITY,PARKING,DISTAMEN,DISTCBD,PROXAMEN,DFLOOD100,TRPRICE,YEAR,ASKPRICE,AGE2,HOUSESIZE2,LOTSIZE2,LN_DISTCBD,LN_DISTAMEN
5446374,179351,319962,52,4,91,214,4,1,2292,3561,1448,0,163415,2015,205000,2704,8281,45796,8.1777964,7.7371802
6383139,179394,319053,22,5,166,240,4,1,2416,3187,1324,0,329128,2019,375000,484,27556,57600,8.0668354,7.7898684
5680607,178781,317256,67,6,127,113,3,0,1718,2494,2022,0,160755,2016,175000,4489,16129,12769,7.8216434,7.448916
4841259,174226,319186,53,6,86,98,4,0,1994,2481,1746,0,134388,2015,139000,2809,7396,9604,7.8164172,7.597898
6300037,174800,319414,41,10,182,240,4,1,1377,2144,2362,0,327411,2018,335000,1681,33124,57600,7.6704288,7.2276626
4668973,178233,317785,57,6,146,233,4,1,1344,1850,2396,0,151256,2013,164000,3249,21316,54289,7.5229411,7.2034054
4671399,175905,321385,49,6,134,350,4,1,216,3441,3524,1,167091,2013,175000,2401,17956,122500,8.1435175,5.3752785
7212573,175795,317697,28,5,164,241,4,0,873,661,2867,0,460000,2020,465000,784,26896,58081,6.4937539,6.7719355
4856733,178645,314940,37,7,100,146,4,0,1371,3782,2369,0,171434,2014,174500,1369,10000,21316,8.2380085,7.2232957
5474321,175048,318639,60,7,162,490,4,0,1577,1499,2162,0,214340,2016,250000,3600,26244,240100,7.3125534,7.3632798
3918380,178918,316984,100,4,120,374,3,0,1783,2713,1957,0,220224,2011,249000,10000,14400,139876,7.9058104,7.4860525
5041267,178798,314947,53,5,120,117,4,1,1520,3869,2219,0,151424,2014,198000,2809,14400,13689,8.2607517,7.3264656
4494742,178919,317477,70,5,112,110,1,0,1896,2575,1843,0,131052,2013,166500,4900,12544,12100,7.8536048,7.5475016
4322608,177878,317367,80,5,117,91,4,0,866,1606,2874,0,257485,2012,285000,6400,13689,8281,7.3815017,6.763885
3034382,176222,320777,85,4,155,155,2,0,285,2803,3454,1,184162,2006,189000,7225,24025,24025,7.9384456,5.6524892
5633118,177532,322933,56,5,112,221,4,1,833,5083,2907,1,192392,2017,199000,3136,12544,48841,8.5336571,6.7250338
68639,179021,315780,53,8,180,320,5,0,1874,3426,1865,0,283338,2004,329000,2809,32400,102400,8.1391487,7.5358305
7119344,173443,317311,24,4,96,127,2,0,3256,3025,483,0,246500,2020,249000,576,9216,16129,8.0146666,8.0882549
5963792,176988,317626,100,10,171,150,5,0,123,691,3616,0,613118,2017,630000,10000,29241,22500,6.5381398,4.8121843
6337024,179385,317587,32,4,135,131,4,0,2375,3017,1364,0,244259,2018,247000,1024,18225,17161,8.0120182,7.7727528
6643796,178553,317560,60,8,156,291,2,1,1567,2200,2172,0,334191,2019,337000,3600,24336,84681,7.6962128,7.3569183
5340686,176514,316328,62,8,158,149,4,0,232,1655,3508,0,330593,2015,339000,3844,24964,22201,7.4115562,5.4467373
6573559,179003,317850,68,6,135,265,4,1,2088,2613,1652,0,319001,2019,375000,4624,18225,70225,7.8682542,7.6439619
4645911,177578,315365,48,5,124,293,4,1,374,2870,3366,0,230433,2013,249000,2304,15376,85849,7.9620671,5.9242558
5817063,178904,315584,43,6,118,131,4,0,1717,3469,2023,0,188083,2016,190000,1849,13924,17161,8.1516218,7.4483337
6833865,179083,316909,81,6,189,444,2,0,1919,2894,1821,0,316975,2019,350000,6561,35721,197136,7.9703951,7.5595593
6633824,175731,316638,60,6,157,234,4,1,1045,1495,2694,0,397485,2019,415000,3600,24649,54756,7.3098817,6.9517722
6667845,176466,321006,27,5,187,504,4,1,592,3028,3147,1,420000,2020,449000,729,34969,254016,8.0156574,6.3835068
4925098,179243,316940,51,5,110,189,4,1,2081,3033,1658,0,200096,2014,219000,2601,12100,35721,8.0173073,7.640604
5499329,176147,316699,20,6,163,241,4,0,649,1303,3090,0,247563,2016,265000,400,26569,58081,7.1724248,6.4754329
6324086,178530,317487,56,6,169,456,4,1,1523,2192,2216,0,449541,2018,450000,3136,28561,207936,7.6925697,7.3284373
4295644,176057,316684,90,5,140,135,1,0,733,1338,3006,0,274278,2012,325000,8100,19600,18225,7.1989312,6.5971456
5523725,179144,317342,64,6,106,240,5,1,2090,2823,1649,0,235774,2016,249000,4096,11236,57600,7.9455552,7.6449194
6388019,178804,315103,41,5,100,133,3,0,1542,3752,2197,0,155910,2018,169000,1681,10000,17689,8.2300444,7.3408356
6797487,174046,318195,23,5,106,132,4,1,2591,2357,1149,0,197477,2019,209000,529,11236,17424,7.7651448,7.8597994
3933675,176954,317723,85,3,172,72,4,1,106,616,3634,0,303955,2011,325000,7225,29584,5184,6.4232469,4.6634393
7305188,179021,315780,86,7,136,500,2,0,1874,3426,1865,0,385000,2020,395000,7396,18496,250000,8.1391487,7.5358305
6112487,174330,316347,45,5,182,455,4,1,2410,2631,1330,0,478124,2018,498000,2025,33124,207025,7.8751192,7.7873821
